ci,lum,absmag,spect
0.18,0.0010894316796591327,12.257,d
1.90,0.00010607181496353147,14.786,d
0.15,0.001667247212551061,11.795,d
0.58,0.00020323570109362208,14.080,d
0.07,0.00031944787242086883,13.589,d
-0.151,1693.5577086915173,-3.222,o
0.081,305.91445594864086,-1.364,o
0.016,3244.890156605363,-3.928,o
-0.008,172186857.49860096,-15.740,o
0.199,1155.5799554021294,-2.807,o
-0.175,4943.106869868354,-4.385,o
-0.160,4349.106072324538,-4.246,o
0.020,77268058.50957021,-14.870,o
-0.097,1993.4254564980927,-3.399,o
-0.210,35285.8025828527,-6.519,o
-0.190,2926.846862378789,-3.816,o
-0.199,8937.169608501978,-5.028,o
0.018,33113112.148259077,-13.950,o
0.086,1247.3835142429432,-2.890,o
-0.233,945.3660459579653,-2.589,o
-0.084,1818.0256237742628,-3.299,o
-0.018,1124.0871934697304,-2.777,o
-0.160,3326.595532940047,-3.955,o
-0.132,13097.849623996846,-5.443,o
-0.189,23550492.83896009,-13.580,o
-0.269,12554.51673687138,-5.397,o
-0.114,2051.1621788255648,-3.430,o
0.010,63679552.090791486,-14.660,o
-0.077,83945998.65193999,-14.960,o
-0.089,58613816.45140297,-14.570,o
0.338,989.9197750805841,-2.639,o
0.038,1057.791322499501,-2.711,o
0.169,51522864.458175726,-14.430,o
0.047,70469306.89671452,-14.770,o
0.132,2047.3872763416373,-3.428,o
0.438,1179.2340206530025,-2.829,o
-0.056,50118723.36272725,-14.400,o
0.045,46131757.456038,-14.310,o
0.001,29376496.519615367,-13.820,o
0.031,38370724.54922792,-14.110,o
0.043,849.5716271561207,-2.473,o
-0.078,50118723.36272725,-14.400,o
-0.031,27797132.677592885,-13.760,o
0.073,1436.1506529074773,-3.043,o
0.020,35974933.515574306,-14.040,o
-0.061,83945998.65193999,-14.960,o
0.200,1618.8253626421067,-3.173,o
0.312,3084.6081377571413,-3.873,o
0.017,4583.529174381883,-4.303,o
0.240,3271.899836231789,-3.937,o
0.192,3056.3282803659663,-3.863,o
-0.207,2698.9820734720156,-3.728,o
-0.047,87.90225168308842,-0.010,b
-0.042,386.18908944898993,-1.617,b
-0.128,149.830421062266,-0.589,b
-0.150,199.34254564980927,-0.899,b
0.332,1620.3170427400003,-3.174,b
-0.047,91.87556016660622,-0.058,b
0.159,467.30453963150995,-1.824,b
-0.100,155.73993890808558,-0.631,b
-0.067,204.9273858380245,-0.929,b
-0.023,364.4181507888612,-1.554,b
-0.146,78.55973322609896,0.112,b
-0.038,114.49855346901883,-0.297,b
-0.064,46.43014072818033,0.683,b
-0.074,56.545754068762086,0.469,b
-0.116,556.672798150948,-2.014,b
-0.190,926.4031007363994,-2.567,b
-0.084,46.21681360922447,0.688,b
